name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
#30_-1_2_9_-1_1_6_10_-1_2_1_500_4_10
NUM970_5,0.136551,0.053198,0.001619,0.280,8,207,192,24,1,1
ITP238^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP192^2,0.250361,0.141876,0.029015,0.945,62,335,1180,290,1,1
NUM985_5,0.765357,0.596717,-1.0,-1.0,26,962,618,78,-1,-1
SCT205_5,2.886662,-1.0,-1.0,-1.0,417,488,-1,-1,-1,-1
SWW533_5,-1.0,-1.0,-1.0,0.171,-1,-1,-1,-1,-1,1
DAT192^1,1.018709,1.861808,0.019820,4.796,690,46,16572,1462,1,1
ITP207_2,4.965522,-1.0,-1.0,-1.0,1215,1276,-1,-1,-1,-1
ITP019^3,-1.0,-1.0,-1.0,0.029,-1,-1,-1,-1,-1,1
LCL763_5,-1.0,-1.0,-1.0,4.295,-1,-1,-1,-1,-1,1
ITP200^2,-1.0,-1.0,-1.0,0.232,-1,-1,-1,-1,-1,1
ITP061^2,0.508665,0.326947,0.038712,4.567,184,307,4680,552,1,1
ITP239_2,5.782087,-1.0,-1.0,-1.0,2134,2343,-1,-1,-1,-1
COM168^1,2.912495,6.737965,-1.0,-1.0,380,357,132427,1474,-1,-1
ITP237^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP279^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT179_5,-1.0,-1.0,-1.0,0.066,-1,-1,-1,-1,-1,1
ITP273^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT275^1,9.879902,0.132253,0.000226,-1.0,16,1,1600,33,0,-1
DAT169^1,0.479934,0.297032,-1.0,-1.0,187,197,3642,493,-1,-1
ITP237^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW553_5,-1.0,-1.0,-1.0,1.139,-1,-1,-1,-1,-1,1
ITP028^2,2.859290,10.194110,0.233915,15.113,613,163,169737,1534,1,1
ANA106^1,-1.0,-1.0,-1.0,0.057,-1,-1,-1,-1,-1,1
SCT189_5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT216^1,0.170688,0.118187,0.000233,29.819,22,379,878,110,0,-1
DAT285^1,0.505816,0.006559,-1.0,-1.0,4,13,48,6,-1,-1
DAT229^1,6.004465,15.297193,0.000216,-1.0,643,41,166398,1328,0,-1
SWW534_5,1.845479,-1.0,-1.0,-1.0,495,171,-1,-1,-1,-1
ITP146^2,0.331196,0.144758,-1.0,-1.0,0,343,0,0,-1,-1
COM061_5,1.963576,-1.0,-1.0,-1.0,319,161,-1,-1,-1,-1
ITP168^2,2.294096,0.612122,-1.0,-1.0,101,689,11310,922,-1,-1
LCL767_5,2.900984,21.615895,-1.0,-1.0,406,374,85571,1061,-1,-1
DAT183^1,1.080840,1.121226,-1.0,-1.0,305,79,32472,768,-1,-1
DAT240^1,0.661966,2.525804,-1.0,-1.0,342,203,45106,1063,-1,-1
ITP121^2,0.193697,0.035875,-1.0,-1.0,0,445,0,0,-1,-1
SEV472^1,-1.0,-1.0,-1.0,0.160,-1,-1,-1,-1,-1,1
ITP153^2,-1.0,-1.0,-1.0,0.201,-1,-1,-1,-1,-1,1
DAT256^1,9.474603,-1.0,-1.0,-1.0,784,347,-1,-1,-1,-1
DAT215^1,1.021683,1.327205,0.000256,-1.0,239,102,17534,681,0,-1
ITP011_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP178^2,1.045901,-1.0,-1.0,-1.0,395,252,-1,-1,-1,-1
DAT134^1,6.125161,-1.0,-1.0,-1.0,1112,117,-1,-1,-1,-1
DAT127^1,-1.0,-1.0,-1.0,0.030,-1,-1,-1,-1,-1,0
PRO021^1,5.340512,-1.0,-1.0,-1.0,893,43,-1,-1,-1,-1
ITP203^2,3.581571,-1.0,-1.0,-1.0,545,259,-1,-1,-1,-1
SWV617_5,0.147784,0.038905,-1.0,-1.0,0,251,0,0,-1,-1
DAT296^1,5.797920,0.554039,-1.0,-1.0,133,39,17798,343,-1,-1
ANA130^1,0.832628,0.077835,-1.0,-1.0,11,254,72,9,-1,-1
COM195^1,-1.0,-1.0,-1.0,0.084,-1,-1,-1,-1,-1,1
COM078_5,2.926211,-1.0,-1.0,-1.0,235,248,-1,-1,-1,-1
ITP015^3,-1.0,-1.0,-1.0,0.255,-1,-1,-1,-1,-1,1
COM099_5,1.479674,-1.0,-1.0,-1.0,189,118,-1,-1,-1,-1
ITP051^2,-1.0,-1.0,-1.0,0.044,-1,-1,-1,-1,-1,0
ITP233^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT143^1,0.385753,0.236794,0.000240,29.966,82,1,9320,166,0,-1
ITP091^2,-1.0,-1.0,-1.0,0.357,-1,-1,-1,-1,-1,1
ITP223^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP291^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP232^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL791_5,1.012362,-1.0,-1.0,-1.0,151,609,-1,-1,-1,-1
ITP174^2,7.414933,-1.0,-1.0,-1.0,512,128,-1,-1,-1,-1
ITP187^2,0.266124,1.040395,0.136038,4.371,102,412,14267,893,1,1
LCL802_5,1.379114,-1.0,-1.0,-1.0,277,554,-1,-1,-1,-1
DAT280^1,-1.0,-1.0,-1.0,0.023,-1,-1,-1,-1,-1,1
NUM973_5,0.140728,0.109944,0.006327,21.625,29,334,864,108,1,1
COM177^1,1.149648,1.759038,-1.0,-1.0,433,15,47840,896,-1,-1
DAT252^1,2.410627,16.487879,-1.0,-1.0,670,73,144387,1483,-1,-1
COM113_5,0.749425,-1.0,-1.0,-1.0,159,115,-1,-1,-1,-1
DAT159^1,-1.0,-1.0,-1.0,0.096,-1,-1,-1,-1,-1,1
DAT289^1,3.716336,-1.0,-1.0,-1.0,457,114,-1,-1,-1,-1
ITP007^7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT205^1,1.882531,2.151907,-1.0,-1.0,536,30,23061,1130,-1,-1
ITP258_2,8.021911,-1.0,-1.0,-1.0,2948,2519,-1,-1,-1,-1
ITP242^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP268_2,8.964259,-1.0,-1.0,-1.0,3685,3248,-1,-1,-1,-1
ITP049^2,-1.0,-1.0,-1.0,0.137,-1,-1,-1,-1,-1,1
ITP019_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL781_5,0.429556,0.210119,-1.0,-1.0,74,351,1108,110,-1,-1
ITP004_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL762_5,-1.0,-1.0,-1.0,1.302,-1,-1,-1,-1,-1,1
ITP186^2,6.956650,1.903430,0.078665,9.468,447,371,10024,849,1,1
SCT234_5,3.012257,-1.0,-1.0,-1.0,538,550,-1,-1,-1,-1
ITP188^2,0.259542,1.628956,0.112968,3.807,122,703,22906,988,1,1
SCT192_5,0.634425,-1.0,-1.0,-1.0,188,187,-1,-1,-1,-1
ITP271^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP228^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW521_5,0.144794,0.447943,0.014456,0.955,63,210,7440,529,1,1
NUN047^1,7.854891,0.179328,-1.0,-1.0,17,5,780,44,-1,-1
DAT293^1,5.546721,0.366868,-1.0,-1.0,199,43,9562,484,-1,-1
SEV483^1,4.887057,1.451840,0.000496,29.790,116,669,21711,957,0,-1
NUN010_5,7.007659,1.079781,-1.0,-1.0,275,751,288,36,-1,-1
DAT288^1,4.235207,1.215742,-1.0,-1.0,278,239,37232,1034,-1,-1
LCL827_5,4.453401,-1.0,-1.0,-1.0,409,434,-1,-1,-1,-1
SEV449^1,0.727426,0.107261,-1.0,-1.0,135,94,2068,245,-1,-1
SEV474^1,5.088507,-1.0,-1.0,-1.0,519,167,-1,-1,-1,-1
SWW528_5,0.200059,0.079050,-1.0,-1.0,49,55,1048,155,-1,-1
DAT209^1,2.681716,0.713706,-1.0,-1.0,179,326,4802,409,-1,-1
ITP267^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWV799_5,0.181813,0.099272,-1.0,-1.0,0,255,0,0,-1,-1
ITP219^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ANA093^1,7.794257,0.172004,-1.0,-1.0,17,3,780,40,-1,-1
ITP221^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP014^7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ANA102^1,-1.0,-1.0,-1.0,0.112,-1,-1,-1,-1,-1,1
ITP286^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP014^3,0.155428,0.056973,-1.0,-1.0,48,161,452,43,-1,-1
